booking_id,guest_first_name,guest_last_name,email,country_of_origin,payment_method,special_request
3093,James,Miller,j.miller@hotmail.com,Dominican Republic,Credit Card,None
3067,Barbara,Miller,b.miller@gmail.com,United States,Debit Card,None
3052,Michael,Williams,m.williams@hotmail.com,Korea,Credit Card,Dolor sit et ut.
3078,John,Rodriguez,j.rodriguez@hotmail.com,Timor-Leste,PayPal,None
3030,Michael,Brown,m.brown@gmail.com,Peru,Credit Card,None
3098,David,Williams,d.williams@hotmail.com,Tuvalu,Bank Transfer,None
3007,Elizabeth,Smith,e.smith@yahoo.com,Equatorial Guinea,Credit Card,None
3074,John,Brown,j.brown@hotmail.com,Costa Rica,Credit Card,None
3003,John,Johnson,j.johnson@gmail.com,Sao Tome and Principe,Credit Card,None
3051,Robert,Smith,r.smith@hotmail.com,Togo,Bank Transfer,None
3053,David,Johnson,d.johnson@gmail.com,Guernsey,Debit Card,Amet amet amet sit.
3034,Barbara,Smith,b.smith@gmail.com,United States,PayPal,None
3031,Sarah,Smith,s.smith@gmail.com,Saint Vincent and the Grenadines,Credit Card,None
3085,James,Williams,j.williams@gmail.com,Ghana,Bank Transfer,None
3036,Mary,Jones,m.jones@gmail.com,Brazil,Credit Card,None
3010,Patricia,Jones,p.jones@yahoo.com,Eritrea,Credit Card,None
3004,Sarah,Brown,s.brown@hotmail.com,Reunion,Debit Card,None
3090,Jessica,Johnson,j.johnson@hotmail.com,South Africa,Debit Card,None
3047,John,Miller,j.miller@hotmail.com,Dominica,Bank Transfer,None
1003,Jennifer,Davis,j.davis@yahoo.com,Slovenia,Credit Card,None
